User,Copilot user,Date,Repository,Insertions,Deletions,Total lines,Files changed,Unit size (DMM),Complexity (DMM),Interface (DMM),Commits,Commit hash,Copilot period,Merge commit,Default branch,Org,Diff lines
User 11,True,2024-03-29,Repo 009,1,1,2,1,,,,1,Commit 200,after,False,True,navikt,0
User 11,True,2024-03-29,Repo 009,0,5,5,1,,,,1,Commit 201,after,False,True,navikt,-5
User 11,True,2024-03-29,Repo 009,0,4,4,2,,,,1,Commit 202,after,False,True,navikt,-4
User 11,True,2024-05-13,Repo 009,2,2,4,2,,,,1,Commit 203,after,False,True,navikt,0
User 11,True,2024-05-13,Repo 009,8,21,29,2,,,,1,Commit 204,after,False,True,navikt,-13
User 11,True,2024-05-16,Repo 009,1,1,2,1,,,,1,Commit 205,after,False,True,navikt,0
User 11,True,2024-05-16,Repo 009,2,1,3,1,,,,1,Commit 206,after,False,True,navikt,1
User 11,True,2024-05-31,Repo 009,2,2,4,2,,,,1,Commit 207,after,False,True,navikt,0
User 11,True,2024-06-21,Repo 009,1,0,1,1,,,,1,Commit 208,after,False,True,navikt,1
User 11,True,2024-08-13,Repo 009,0,1,1,1,,,,1,Commit 209,after,False,True,navikt,-1
User 04,True,2024-08-21,Repo 009,1,1,2,1,,,,1,Commit 210,after,False,True,navikt,0
User 04,True,2023-02-23,Repo 010,5,2,7,1,,,,1,Commit 211,before,False,True,navikt,3
User 04,True,2023-02-23,Repo 010,5,0,5,1,,,,1,Commit 212,before,False,True,navikt,5
User 03,True,2022-09-22,Repo 011,1,1,2,1,,,,1,Commit 213,before,False,True,navikt,0
User 03,True,2022-11-16,Repo 011,4,18,22,1,,,,1,Commit 214,before,False,True,navikt,-14
User 12,True,2023-03-24,Repo 012,0,2,2,2,,,,1,Commit 215,before,False,True,navikt,-2
User 13,True,2023-07-11,Repo 013,1,1,2,1,,,,1,Commit 216,before,False,True,navikt,0
User 13,True,2023-07-11,Repo 013,1,1,2,1,,,,1,Commit 217,before,False,True,navikt,0
User 14,True,2024-08-02,Repo 014,0,19,19,1,,,,1,Commit 218,after,False,True,navikt,-19
User 14,True,2024-08-02,Repo 014,0,2,2,1,,,,1,Commit 219,after,False,True,navikt,-2
User 14,True,2024-08-02,Repo 014,25,10,35,1,0.0,1.0,1.0,1,Commit 220,after,False,True,navikt,15
User 14,True,2024-08-06,Repo 014,1,1,2,1,,,,1,Commit 221,after,False,True,navikt,0
